2020-12-27 12:12:647 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (c54ea413e581264de528e08ddc4893e1)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:721 INFO  NewAndUsedCarSearchPage :31 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (c54ea413e581264de528e08ddc4893e1)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:217 INFO  NewAndUsedCarSearchPage :38 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (c54ea413e581264de528e08ddc4893e1)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:637 INFO  NewAndUsedCarSearchPage :45 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (c54ea413e581264de528e08ddc4893e1)] -> xpath: //select[@id='models']]
2020-12-27 12:12:808 INFO  NewAndUsedCarSearchPage :52 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (c54ea413e581264de528e08ddc4893e1)] -> xpath: //select[@id='locations']]
2020-12-27 12:12:964 INFO  NewAndUsedCarSearchPage :59 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (c54ea413e581264de528e08ddc4893e1)] -> xpath: //select[@id='priceTo']]
2020-12-27 12:12:135 INFO  NewAndUsedCarSearchPage :66 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (c54ea413e581264de528e08ddc4893e1)] -> xpath: //input[@id='search-submit']]
2020-12-27 12:12:840 INFO  BMW1SeriesPage :20 - verify that user is on BMW 1 series page[[ChromeDriver: chrome on WINDOWS (c54ea413e581264de528e08ddc4893e1)] -> xpath: //h1[contains(text(),'21 BMW 1 Series for Sale under $30,000 in Sydney, ')]]
2020-12-27 12:12:878 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:491 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (c145bd36aa742f9ff2d66eb5add960d0)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:452 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (c145bd36aa742f9ff2d66eb5add960d0)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:991 INFO  NewAndUsedCarSearchPage :31 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (c145bd36aa742f9ff2d66eb5add960d0)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:75 INFO  NewAndUsedCarSearchPage :38 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (c145bd36aa742f9ff2d66eb5add960d0)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:479 INFO  NewAndUsedCarSearchPage :45 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (c145bd36aa742f9ff2d66eb5add960d0)] -> xpath: //select[@id='models']]
2020-12-27 12:12:639 INFO  NewAndUsedCarSearchPage :52 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (c145bd36aa742f9ff2d66eb5add960d0)] -> xpath: //select[@id='locations']]
2020-12-27 12:12:790 INFO  NewAndUsedCarSearchPage :59 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (c145bd36aa742f9ff2d66eb5add960d0)] -> xpath: //select[@id='priceTo']]
2020-12-27 12:12:927 INFO  NewAndUsedCarSearchPage :66 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (c145bd36aa742f9ff2d66eb5add960d0)] -> xpath: //input[@id='search-submit']]
2020-12-27 12:12:627 INFO  BMW1SeriesPage :20 - verify that user is on BMW 1 series page[[ChromeDriver: chrome on WINDOWS (c145bd36aa742f9ff2d66eb5add960d0)] -> xpath: //h1[contains(text(),'21 BMW 1 Series for Sale under $30,000 in Sydney, ')]]
2020-12-27 12:12:248 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:846 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (22f02e5b6b0ea1b3aaea876e5ad7f737)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:860 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (22f02e5b6b0ea1b3aaea876e5ad7f737)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 12:12:556 INFO  NewAndUsedCarSearchPage :31 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (22f02e5b6b0ea1b3aaea876e5ad7f737)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 12:12:878 INFO  NewAndUsedCarSearchPage :38 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (22f02e5b6b0ea1b3aaea876e5ad7f737)] -> xpath: //select[@id='makes']]
2020-12-27 12:12:98 INFO  NewAndUsedCarSearchPage :45 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (22f02e5b6b0ea1b3aaea876e5ad7f737)] -> xpath: //select[@id='models']]
2020-12-27 12:12:300 INFO  NewAndUsedCarSearchPage :52 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (22f02e5b6b0ea1b3aaea876e5ad7f737)] -> xpath: //select[@id='locations']]
2020-12-27 12:12:479 INFO  NewAndUsedCarSearchPage :59 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (22f02e5b6b0ea1b3aaea876e5ad7f737)] -> xpath: //select[@id='priceTo']]
2020-12-27 12:12:638 INFO  NewAndUsedCarSearchPage :66 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (22f02e5b6b0ea1b3aaea876e5ad7f737)] -> xpath: //input[@id='search-submit']]
2020-12-27 12:12:437 INFO  BMW1SeriesPage :20 - verify that user is on BMW 1 series page[[ChromeDriver: chrome on WINDOWS (22f02e5b6b0ea1b3aaea876e5ad7f737)] -> xpath: //h1[contains(text(),'21 BMW 1 Series for Sale under $30,000 in Sydney, ')]]
2020-12-27 12:12:158 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 12:12:730 INFO  HomePage :23 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (5b0edd859972e339f4978d57fd3014fd)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 12:12:842 INFO  HomePage :30 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (5b0edd859972e339f4978d57fd3014fd)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 13:12:398 INFO  NewAndUsedCarSearchPage :31 - Verify that user is on new and used car search page [[ChromeDriver: chrome on WINDOWS (5b0edd859972e339f4978d57fd3014fd)] -> xpath: //h1[contains(text(),'New & Used Car Search - carsguide')]]
2020-12-27 13:12:491 INFO  NewAndUsedCarSearchPage :38 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (5b0edd859972e339f4978d57fd3014fd)] -> xpath: //select[@id='makes']]
2020-12-27 13:12:760 INFO  NewAndUsedCarSearchPage :45 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (5b0edd859972e339f4978d57fd3014fd)] -> xpath: //select[@id='models']]
2020-12-27 13:12:03 INFO  NewAndUsedCarSearchPage :52 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (5b0edd859972e339f4978d57fd3014fd)] -> xpath: //select[@id='locations']]
2020-12-27 13:12:205 INFO  NewAndUsedCarSearchPage :59 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (5b0edd859972e339f4978d57fd3014fd)] -> xpath: //select[@id='priceTo']]
2020-12-27 13:12:420 INFO  NewAndUsedCarSearchPage :66 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (5b0edd859972e339f4978d57fd3014fd)] -> xpath: //input[@id='search-submit']]
2020-12-27 13:12:854 INFO  BMW1SeriesPage :20 - verify that user is on BMW 1 series page[[ChromeDriver: chrome on WINDOWS (5b0edd859972e339f4978d57fd3014fd)] -> xpath: //h1[contains(text(),'21 BMW 1 Series for Sale under $30,000 in Sydney, ')]]
2020-12-27 13:12:403 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 13:12:284 INFO  HomePage :25 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (a317359509d376f2c4f6238cea39f89e)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 13:12:292 INFO  HomePage :38 - This will click on used search cars link[[ChromeDriver: chrome on WINDOWS (a317359509d376f2c4f6238cea39f89e)] -> xpath: //*[@id="u_H"]/div/div[1]/ul/li[1]//div[1]/ul/li[2]/a]
2020-12-27 13:12:834 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 13:12:863 INFO  HomePage :25 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (9509fdbd0a47883a98b54e333ff741c0)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 13:12:78 INFO  HomePage :38 - This will click on used search cars link[[ChromeDriver: chrome on WINDOWS (9509fdbd0a47883a98b54e333ff741c0)] -> xpath: //*[@id="u_H"]/div/div[1]/ul/li[1]//div[1]/ul/li[2]/a]
2020-12-27 13:12:490 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 13:12:451 INFO  HomePage :25 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (4dc2a28fe5c2b93c5eea2fdb3c5128aa)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 13:12:477 INFO  HomePage :38 - This will click on used search cars link[[ChromeDriver: chrome on WINDOWS (4dc2a28fe5c2b93c5eea2fdb3c5128aa)] -> xpath: //*[@id="u_H"]/div/div[1]/ul/li[1]//div[1]/ul/li[2]/a]
2020-12-27 13:12:792 INFO  NewAndUsedCarSearchPage :38 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (4dc2a28fe5c2b93c5eea2fdb3c5128aa)] -> xpath: //select[@id='makes']]
2020-12-27 13:12:961 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 13:12:948 INFO  HomePage :25 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (35012282fd29d5fcaa33e2e4844285c9)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 13:12:843 INFO  HomePage :38 - This will click on used search cars link[[ChromeDriver: chrome on WINDOWS (35012282fd29d5fcaa33e2e4844285c9)] -> xpath: //*[@id="u_H"]/div/div[1]/ul/li[1]//div[1]/ul/li[2]/a]
2020-12-27 13:12:903 INFO  NewAndUsedCarSearchPage :38 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (35012282fd29d5fcaa33e2e4844285c9)] -> xpath: //select[@id='makes']]
2020-12-27 13:12:597 INFO  NewAndUsedCarSearchPage :45 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (35012282fd29d5fcaa33e2e4844285c9)] -> xpath: //select[@id='models']]
2020-12-27 13:12:991 INFO  NewAndUsedCarSearchPage :52 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (35012282fd29d5fcaa33e2e4844285c9)] -> xpath: //select[@id='locations']]
2020-12-27 13:12:242 INFO  NewAndUsedCarSearchPage :59 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (35012282fd29d5fcaa33e2e4844285c9)] -> xpath: //select[@id='priceTo']]
2020-12-27 13:12:204 INFO  BasePage :30 - Launching Chrome Browser
2020-12-27 13:12:726 INFO  HomePage :25 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (2e4c6222c1498f966295ed107bc83cfa)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 13:12:279 INFO  HomePage :38 - This will click on used search cars link[[ChromeDriver: chrome on WINDOWS (2e4c6222c1498f966295ed107bc83cfa)] -> xpath: //*[@id="u_H"]/div/div[1]/ul/li[1]//div[1]/ul/li[2]/a]
2020-12-27 13:12:78 INFO  NewAndUsedCarSearchPage :38 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (2e4c6222c1498f966295ed107bc83cfa)] -> xpath: //select[@id='makes']]
2020-12-27 13:12:482 INFO  NewAndUsedCarSearchPage :45 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (2e4c6222c1498f966295ed107bc83cfa)] -> xpath: //select[@id='models']]
2020-12-27 13:12:863 INFO  NewAndUsedCarSearchPage :52 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (2e4c6222c1498f966295ed107bc83cfa)] -> xpath: //select[@id='locations']]
2020-12-27 13:12:49 INFO  NewAndUsedCarSearchPage :59 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (2e4c6222c1498f966295ed107bc83cfa)] -> xpath: //select[@id='priceTo']]
