2020-12-27 17:12:834 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:902 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:27 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //select[@id='models']]
2020-12-27 17:12:520 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:277 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:784 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (3976f99d6795c07cbf4199a902ac61ba)] -> xpath: //input[@id='search-submit']]
2020-12-27 17:12:335 INFO  BasePage :31 - Launching Chrome Browser
2020-12-27 17:12:809 INFO  HomePage :26 - This will mouse on buy sell link[[ChromeDriver: chrome on WINDOWS (d10942971deddf0b69501bc69a6acdaa)] -> xpath: //a[contains(text(),'buy + sell')]]
2020-12-27 17:12:479 INFO  HomePage :33 - This will click on search cars link[[ChromeDriver: chrome on WINDOWS (d10942971deddf0b69501bc69a6acdaa)] -> xpath: //a[contains(text(),'Search Cars')]]
2020-12-27 17:12:722 INFO  NewAndUsedCarSearchPage :39 - Clicking on any make field and select BMW[[ChromeDriver: chrome on WINDOWS (d10942971deddf0b69501bc69a6acdaa)] -> xpath: //select[@id='makes']]
2020-12-27 17:12:726 INFO  NewAndUsedCarSearchPage :46 - Clicking on any model field and select series[[ChromeDriver: chrome on WINDOWS (d10942971deddf0b69501bc69a6acdaa)] -> xpath: //select[@id='models']]
2020-12-27 17:12:929 INFO  NewAndUsedCarSearchPage :53 - Select any location field and select location[[ChromeDriver: chrome on WINDOWS (d10942971deddf0b69501bc69a6acdaa)] -> xpath: //select[@id='locations']]
2020-12-27 17:12:146 INFO  NewAndUsedCarSearchPage :60 - Select price max field and select price[[ChromeDriver: chrome on WINDOWS (d10942971deddf0b69501bc69a6acdaa)] -> xpath: //select[@id='priceTo']]
2020-12-27 17:12:388 INFO  NewAndUsedCarSearchPage :67 - clicking on find my next car button[[ChromeDriver: chrome on WINDOWS (d10942971deddf0b69501bc69a6acdaa)] -> xpath: //input[@id='search-submit']]
